Year,City of Austin Population
1840,553
1850,629
1860,3494
1870,4428
1880,11013
1890,14575
1900,22258
1905,25299
1910,29860
1915,32368
1920,34876
1925,42174
1930,53120
1935,60082
1940,87930
1945,101289
1950,132459
1955,159502
1960,186545
1961,194940
1962,201762
1963,205394
1964,208475
1965,214117
1966,218981
1967,223981
1968,234375
1969,244074
1970,251808
1971,263000
1972,275900
1973,290300
1974,297500
1975,302500
1976,308952
1977,321900
1978,331900
1979,341507
1980,345890
1981,349513
1982,358950
1983,373541
1984,392971
1985,417033
1986,447342
1987,461039
1988,464118
1989,466499
1990,465622
1991,476447
1992,482296
1993,492862
1994,508336
1995,526128
1996,548043
1997,567566
1998,613458
1999,629769
2000,656562
2001,669693
2002,680899
2003,687708
2004,692102
2005,700407
2006,718912
2007,735088
2008,750525
2009,774037
2010,790390
2011,812025
2012,832326
2013,855215
2014,878733
2015,900701
2016,926426
